The Core Computer Business (Pty) Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Apple Reseller Program Price List,,,,
,,,,
,,,,
Effective from 18 June 2025,,,,
,,,,
Items in Red are on Promotion: Ends 30th June 2025 or While Stocks Last,,,,
,,,,
Due to the volatility of the Rand/US Dollar exchange rate please note that the prices published by Core Group may change without notice.,,,,
Should you wish to include these prices in customer quotations please note that the Core Group may not be able to honour the published prices.,,,,
EO&E,,,,
"The reseller is responsible for determining its own prices for the resale of products. Although Core may suggest retail prices, these are suggestions only and the reseller is entirely free to determine the actual prices at which products will be sold.",,,,
,ARP_P1,,,
,,,,
,ARP_P1,,"Wholesale
(ZAR Excl VAT)","RRP 
(ZAR Incl VAT)"
1 - CPU,,,,
DISPLAYS,,,,
MVVF3QA/A,11-INCH IPAD PRO WIFI 1TB WITH STANDARD GLASS - SILVER,ACTIVE,30729,37999
MVVG3QA/A,11-INCH IPAD PRO WIFI 2TB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,38493,47599
MVVH3QA/A,11-INCH IPAD PRO WIFI 2TB WITH STANDARD GLASS - SILVER,ACTIVE,38493,47599
MVW13QA/A,11-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,23127,28599
MVW23QA/A,11-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SILVER,ACTIVE,23127,28599
MVW33QA/A,11-INCH IPAD PRO WIFI + CELLULAR 512GB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,26928,33299
MVW43QA/A,11-INCH IPAD PRO WIFI + CELLULAR 512GB WITH STANDARD GLASS - SILVER,ACTIVE,26928,33299
MVW53QA/A,11-INCH IPAD PRO WIFI + CELLULAR 1TB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,34773,42999
MVW63QA/A,11-INCH IPAD PRO WIFI + CELLULAR 1TB WITH STANDARD GLASS - SILVER,ACTIVE,34773,42999
MVW73QA/A,11-INCH IPAD PRO WIFI + CELLULAR 2TB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,42374,52399
MVW83QA/A,11-INCH IPAD PRO WIFI + CELLULAR 2TB WITH STANDARD GLASS - SILVER,ACTIVE,42374,52399
MWR63QA/A,11-INCH IPAD PRO WIFI 1TB WITH NANO-TEXTURE GLASS - SPACE BLACK,ACTIVE,32751,40499
MWR73QA/A,11-INCH IPAD PRO WIFI 1TB WITH NANO-TEXTURE GLASS - SILVER,ACTIVE,32751,40499
